stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_action_saturation_ratio,slow_actor_action_saturation_ratio,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean,slow_raw_to_guard_projection_rms,slow_guard_to_executed_projection_rms,slow_global_safety_group_share,slow_role_specific_group_share,joint_evaluations_without_improvement,early_stop_requested
joint_finetune,0,480,-13554.36163606992,-3577.693569478231,-28.23825340847901,-121.9100923043869,-8.990387005213075,,-13636.07275243462,,,,,,480,24,12,0,77,0.07268015835740561,0.5385289156052562,1.7561186995325903e-10,8.429369557916289e-08,0.07268015841643015,0.5385289192199707,1.6113324513037999,1.7320507764816284,0.09354022409057837,0.5509738326072693,0.011684971847614708,0.4841500925391861,1973.3505870723702,2812.827040607896,2.2967680047504033,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,22080.0001,864.0001,628.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
joint_finetune,1,960,-13779.68132374475,-3587.9403953453857,-28.707669424468214,-120.90778099465929,-8.739408070708425,,-13636.07275243462,,,,,,960,48,24,0,75,0.0729670162216501,0.5386633567827938,1.7561187735474586e-10,8.429369557916289e-08,0.07296701648738235,0.5386633276939392,1.6121790036559105,1.7315688133239746,0.09355670880110913,0.5512502789497375,0.011902035760644528,0.48416952462844687,2038.5045420640222,2813.060018245522,1.452482005453985,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,22560.0001,888.0001,640.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
joint_finetune,2,1440,-13487.692616895863,-3519.7437470173513,-28.09935961853304,-120.77820195759688,-7.977842905401625,,-13636.07275243462,,,,,,1440,72,36,0,76,0.07574729430615615,0.475085726588037,1.7561187735474586e-10,8.429369557916289e-08,0.07574729252470812,0.4750857353210449,1.6104719440142314,1.7320507764816284,0.09377524489933751,0.5522211194038391,0.011621699406050763,0.48419087500353275,1973.5239782695348,2813.304253065188,6.403762658680692,0.0,0.0,0.0,0.0,0,0,1440,72,36,441,18,20,74,3,0,441,18,20,0,23040.0001,912.0001,652.0001,0.0,0.0,0.06411073266006098,0.5227213481793532,0.9982593655586243,0.030501082136824325,1.0,0.7909148182417896,0.5397940675417582,-0.23324973458373868,0.514222639102577,8.42982705421566e-08,0.7702219718032413,0.22977801826265123,0,0.0
joint_finetune,3,1920,-13315.33545658419,-3482.478564738173,-27.740282201217063,-120.58961974089156,-7.569858343956691,,-13636.07275243462,,,,,,1920,96,48,0,80,0.08702932691730154,0.5392412167567607,1.7561187735474586e-10,8.429369557916289e-08,0.08702932673040778,0.5392411947250366,1.611508717139562,1.7320507764816284,0.09337875624888428,0.5508400201797485,0.011065704603703047,0.48418832963263464,1758.0469084319232,2813.2709374532465,2.841857931554464,0.0,0.0,0.0,0.0,0,0,1920,96,48,922,66,68,154,11,0,922,66,68,0,23520.0001,936.0001,664.0001,0.0,0.0,0.1073388671875,0.5443400792777539,0.9981760904192924,0.034173583984375,1.0,0.7837128512561321,0.5497717782855034,-0.2691083652898669,0.515090474166753,8.45695264750919e-08,0.7659201386074225,0.23407986542830864,0,0.0
joint_finetune,4,2400,-12660.2473891548,-3414.4795653224946,-26.375515394072483,-114.34622162152675,-7.444644534446629,-12319.26515536054,-12319.26515536054,0.0,1.0,1.0,0.010281659024733521,0.48347822566903725,2400,120,60,0,83,0.09896862929681743,0.465367909770787,1.7561186578992268e-10,8.429369557916289e-08,0.09896862868530056,0.4653679132461548,1.6093715627988179,1.7320507764816284,0.09385803899865343,0.5502834916114807,0.01079375807416442,0.4842606295110939,1664.0289783197013,2814.109500604758,0.8824118813252543,0.0,0.0,0.0,0.0,0,0,2400,120,60,1403,114,116,234,19,0,1403,114,116,0,24000.0001,960.0001,676.0001,0.0,0.0,0.11448974609375,0.5503912650048732,0.9979084730148315,0.0431121826171875,1.0,0.7605735883116722,0.5395128503441811,-0.3163468115031719,0.5247721571234397,8.426488163268094e-08,0.7958276346325874,0.20417236971358457,0,0.0
joint_finetune,5,2880,-12369.379538378238,-3370.937628935046,-25.76954070495467,-108.1659646456794,-7.31294822245042,,-12319.26515536054,,,,,,2880,144,72,0,75,0.1209294152751701,0.5582655926967534,1.7561186578992268e-10,8.429369557916289e-08,0.12092941552400589,0.5582655668258667,1.6050393705566723,1.7320507764816284,0.09404082931260663,0.5500575304031372,0.010552533725142081,0.4841688232083982,1594.9819272887767,2813.0423885007153,4.606594912167014,0.0,0.0,0.0,0.0,0,0,2880,144,72,1884,162,164,314,27,0,1884,162,164,0,24480.0001,984.0001,688.0001,0.0,0.0,0.12239257872104645,0.5526166267693042,0.9975350946187973,0.05367431640625,0.9931640699505806,0.7414328187704087,0.5350429713726044,-0.35274278111755847,0.521515826849605,8.430638759486464e-08,0.7863294122119745,0.2136705887193481,0,0.0
joint_finetune,6,3360,-12114.241713620255,-3346.40976232506,-25.238003570042224,-109.8754200182578,-7.123915195401246,,-12319.26515536054,,,,,,3360,168,84,0,80,0.13052882027596652,0.5785395588383847,1.7561187735474586e-10,8.429369557916289e-08,0.130528820597101,0.5785395503044128,1.6073822602629662,1.7309399843215942,0.09385587253183819,0.5516282320022583,0.010661071717418006,0.4839944019225762,1648.9269000083166,2811.022923728865,3.3043605454992058,0.0,0.0,0.0,0.0,0,0,3360,168,84,2365,210,212,395,35,0,2365,210,212,0,24960.0001,1008.0001,700.0001,0.0,0.0,0.13240108867683034,0.5600969614805998,0.9969858825206757,0.06908576871141975,0.9720703363418579,0.730883056734815,0.5538153201341629,-0.3808056108745528,0.5088195190661496,8.357567281750748e-08,0.7522443843384584,0.24775561845550934,0,0.0
joint_finetune,7,3840,-11957.59219259148,-3327.4096618790268,-24.91165040123223,-113.74987235116289,-7.358263924803126,,-12319.26515536054,,,,,,3840,192,96,0,81,0.12923702409627774,0.6830432800132552,1.7561187735474586e-10,8.429369557916289e-08,0.12923702311236412,0.6830433011054993,1.6013036767641704,1.7320507764816284,0.09380391312780292,0.5506651401519775,0.01061566046631832,0.48452506919580596,1613.201110238398,2817.1992162730508,9.388127793155615,0.0,0.0,0.0,0.0,0,0,3840,192,96,2846,258,260,475,43,0,2846,258,260,0,25440.0001,1032.0001,712.0001,0.0,0.0,0.14305175900459288,0.5705190613865853,0.9960328489542007,0.085064697265625,0.9375000149011612,0.7307589270174504,0.5593506470322609,-0.3942852571606636,0.4873818168936725,8.380178380540973e-08,0.6955524707833926,0.3044475360463063,0,0.0
joint_finetune,8,4320,-11690.948855204055,-3282.729990248413,-24.356143448341772,-109.80213915057587,-6.9670993652776225,,-12319.26515536054,,,,,,4320,216,108,0,85,0.1336923956988767,0.686002084417835,1.7561187735474586e-10,8.429369557916289e-08,0.13369239576471348,0.6860020756721497,1.5931802093982697,1.7320507764816284,0.09384344252413773,0.5512949824333191,0.010382326365304596,0.4840357265389869,1572.0015122326015,2811.501709074779,16.324770559781925,0.0,0.0,0.0,0.0,0,0,4320,216,108,3327,306,308,555,51,0,3327,306,308,0,25920.0001,1056.0001,724.0001,0.0,0.0,0.153021485209465,0.5758384481072426,0.9943651035428047,0.09989013671875,0.9138671979308128,0.7238204792141915,0.5341482385993004,-0.4108124624937773,0.4799996307858191,8.360092253750505e-08,0.6773186040421327,0.32268139782051247,0,0.0
joint_finetune,9,4800,-11694.284893955597,-3289.917913375234,-24.363093529074145,-115.5809409122503,-7.194955156399114,-11651.38116143024,-12319.26515536054,0.0,1.0,1.0,0.01059552059535282,0.4834777943945883,4800,240,120,0,80,0.13622296219970784,0.6479118960198246,1.7561186995325903e-10,8.429369557916289e-08,0.13622296116081997,0.6479118466377258,1.573611666758855,1.7153207063674927,0.09385426862023781,0.551600992679596,0.010613632213308903,0.48428838823632925,1605.7204872070909,2814.4492497932524,0.7852124334086169,0.0,0.0,0.0,0.0,0,0,4800,240,120,3808,354,356,635,59,0,3808,354,356,0,26400.0001,1080.0001,736.0001,0.0,0.0,0.1656303721666336,0.5822326645255089,0.9913577064871788,0.1187957763671875,0.8824218884110451,0.722309374064207,0.5199088826775551,-0.4199751179665327,0.47749436513191496,8.281163402170945e-08,0.6723726118604342,0.3276273946588238,1,0.0
