stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio
joint_finetune,0,480,-398793.0424626901,-7124.598528026952,-830.8188384639391,-21292.810991925093,-13.814099512788308,,-inf,,,,,,480,24,12,0,77,0.042128815323167354,0.7148104883601661,0.0,0.0,0.04212881503238653,0.7148104906082153,0.0,0.0,0.24748920987952838,0.3514457046985626,0.03280228306689587,0.5693164794679029,18313.025757589632,3889.61804329355,367516.27439997345,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,7680.0001,384.0001,548.0001,0.0,0.0,0.0
joint_finetune,1,960,-491964.459368613,-7708.871516178213,-1024.9259570179431,-18432.63311489752,-14.051056014355392,,-inf,,,,,,960,48,24,0,75,0.05610387343910051,0.6176600560196981,0.0,0.0,0.05610387313766599,0.6176600456237793,0.0,0.0,0.25209732353687286,0.3673165440559387,0.03461580255742301,0.5689680604789987,20684.345263455314,3884.928491366649,458137.14538728655,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,8160.0001,408.0001,548.0001,0.0,0.0,0.0
joint_finetune,2,1440,-373109.43378892227,-6839.6038859897035,-777.311320393588,-20704.454307060278,-17.097249749438983,,-inf,,,,,,1440,72,36,0,76,0.047215128699648425,0.5580894739152815,0.0,0.0,0.0472151281661354,0.5580894947052002,0.0,0.0,0.22656571729616684,0.34867191314697266,0.03197611125707588,0.5692052560944469,17638.975551459396,3888.1212181773726,342343.59668778436,0.0,0.0,0.0,0.0,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,8640.000100000001,432.0001,548.0001,0.0,0.0,0.0
joint_finetune,3,1920,-123984.27414118858,-4009.6939330517025,-258.3005711274759,-12331.712709856667,-14.65484462530144,,-inf,,,,,,1920,96,48,0,80,0.024864621003692924,0.4803024928660459,0.0,0.0,0.024864620785228907,0.48030248284339905,0.0,0.0,0.2558576383373954,0.379690945148468,0.022342265027991078,0.5699787158614019,8676.09342902664,3898.7215028383957,102423.67136063147,0.0,0.0,0.0,0.0,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,9120.000100000001,456.0001,548.0001,0.0,0.0,0.0
joint_finetune,4,2400,-54837.483244790565,-3985.7058389890935,-114.24475675998038,-823.5079503225037,-14.832637204529336,-14945.417130537497,-14945.417130537497,0.0,1.0,1.0,0.016116383924612232,0.5458546139695627,2400,120,60,0,83,0.07136162071772739,0.37011233231574464,1.913978235161077e-17,9.18709552877317e-15,0.07136162056510026,0.3701123297214508,0.16758842393755913,0.7035606503486633,0.169029256159609,0.26738473773002625,0.022413242877163477,0.5664425487373576,7697.727455800149,3850.8446697539216,34808.42878838017,0.0,0.0,0.0,0.0,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,9600.000100000001,480.0001,556.0001,0.0,0.0,0.0
joint_finetune,5,2880,-17345.95064140167,-3375.0265593939816,-36.13739716958684,-190.7515287599518,-15.782323653486989,,-14945.417130537497,,,,,,2880,144,72,0,75,0.054935398357013554,0.3510864838438925,6.907309095064799e-10,1.7881393432617188e-07,0.054935397390120974,0.35108649730682373,0.8932565003633499,1.1197518110275269,0.003729080950671976,0.0201089046895504,0.01642015995949666,0.5456719599922513,3961.996942963668,3573.762960732919,2810.7374279088676,0.0,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,10080.000100000001,504.0001,568.0001,0.0,0.0,0.0
joint_finetune,6,3360,-17147.321873494413,-3386.7476363922733,-35.72358723644672,-246.8273356559451,-15.253180650208357,,-14945.417130537497,,,,,,3360,168,84,0,80,0.04753119453143341,0.42043708080367725,4.96705387006043e-10,1.7881393432617188e-07,0.047531194325226046,0.4204370975494385,0.9455460359652837,1.1506404876708984,0.0007993674093582244,0.004998422227799892,0.017846162496037335,0.5451670195497933,4639.576212383627,3566.839903206668,1473.2982791832399,0.0,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,10560.000100000001,528.0001,580.0001,0.0,0.0,0.0
joint_finetune,7,3840,-17610.22080923945,-3412.94112357901,-36.6879600192489,-289.46187869281437,-15.132737683832712,,-14945.417130537497,,,,,,3840,192,96,0,81,0.048061113425406934,0.3956694288665049,2.488377504050732e-10,5.960464477539063e-08,0.04806111326518779,0.3956694006919861,0.9500278979539871,1.182687520980835,0.0009302134183764628,0.005642331670969725,0.01791152135708202,0.5458078638357683,4716.949839849058,3575.4629290108523,1599.2440924865143,0.0,0.0,0.0,0.0,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,11040.000100000001,552.0001,592.0001,0.0,0.0,0.0
joint_finetune,8,4320,-29960.733487787147,-4027.4524067773436,-62.41819476622321,-766.3192935596047,-15.19621853589354,,-14945.417130537497,,,,,,4320,216,108,0,85,0.04915867061146494,0.3994287085305588,1.8626452706616005e-10,5.960464477539063e-08,0.04915866994609435,0.39942872524261475,0.9368195260564486,1.1352041959762573,0.000945790041111071,0.005791326053440571,0.01977222451354928,0.5458143192662959,6027.739346532215,3575.370178305439,12474.555968360146,0.0,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,11520.000100000001,576.0001,604.0001,0.0,0.0,0.0
joint_finetune,9,4800,-27725.8244611028,-3941.967343048244,-57.76213429396423,-641.1162154446098,-16.04687116408306,-23319.65386764296,-14945.417130537497,0.0,1.0,1.0,0.017646155271331336,0.546086606432487,4800,240,120,0,80,0.056444931232699974,0.4596794855952735,1.241763553094799e-10,5.960464477539063e-08,0.05644493221770972,0.4596794843673706,0.9618578553199768,1.1496409177780151,0.0009218736403537067,0.005959636066108942,0.019195803772744918,0.5453342406690382,5632.304077137214,3569.033767834059,10518.10735674434,0.0,0.0,0.0,0.0,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,12000.000100000001,600.0001,616.0001,0.0,0.0,0.0
joint_finetune,10,5280,-26474.962126655675,-3808.5867387017024,-55.15617109719933,-893.404807031646,-16.398916566907747,,-14945.417130537497,,,,,,5280,264,132,0,80,0.020985924896511236,0.41504364112710224,1.241763553094799e-10,5.960464477539063e-08,0.020985924491348364,0.4150436520576477,0.9346843461195627,1.1221815347671509,0.0007973388816356997,0.004476823844015598,0.017576534331802476,0.5455750321404922,4818.635462947147,3572.2835800641237,9506.958898099214,0.0,0.0,0.0,0.0,0,0,5280,264,132,281,18,20,71,5,5,281,18,20,0,12480.000100000001,624.0001,628.0001,0.0,0.0,0.005619537870999489
joint_finetune,11,5760,-14867.251679703068,-2662.6049644635314,-30.973440999381378,-120.78100022843597,-15.699235645968646,,-14945.417130537497,,,,,,5760,288,144,0,81,0.0034498156666047716,0.13112925395250563,3.4148494402567543e-10,6.705522537231445e-08,0.003449815387527148,0.13112926483154297,0.8138633370399475,0.9614948630332947,0.0008528178414880214,0.005600958131253719,0.013271045655175914,0.5453287145967615,2591.4686530707572,3569.2131036086203,2.175310738650244,0.0,0.0,0.0,0.0,0,0,5760,288,144,762,66,68,191,17,17,762,66,68,0,12960.000100000001,648.0001,640.0001,0.0,0.0,0.0017302345261121857
