stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio
slow_pretrain,0,480,-33929.127994935545,-2688.4288458337055,-70.68568332278234,-1094.3961769540135,-15.557007146250998,,-inf,,,,,,480,24,12,0,77,0.00033090001045799294,0.0368968993649853,0.0,0.0,0.0003308997799952825,0.03689688444137573,0.0,0.0,0.0,0.0,0.017249565020665814,0.5701620984688454,4602.869907286877,3901.191353520901,17635.859328768518,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,7200.0001,24.0001,0.0001,0.0,0.0,0.0
slow_pretrain,1,960,-26330.094200740514,-2577.017082522564,-54.85436291820937,-413.9627549625849,-16.981603415884845,,-inf,,,,,,960,48,24,0,75,0.00601756711059717,0.19315622560233375,0.0,0.0,0.006017567310482264,0.19315622746944427,0.0,0.0,0.0,0.0,0.018704297905294542,0.5699393193008746,5162.55261906016,3898.1590546375032,8795.322665779016,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,7200.0001,48.0001,0.0001,0.0,0.0,0.0
slow_pretrain,2,1440,-20474.8225652128,-2318.928966045428,-42.6558803441933,-267.43747833843145,-14.592037251614773,,-inf,,,,,,1440,72,36,0,76,5.564907535982575e-16,1.1119563949618733e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016648621372211934,0.5696096909779329,4218.9082190279605,3893.6312824287033,3866.963201953936,0.0,0.0,0.0,0.0,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,7200.0001,72.0001,0.0001,0.0,0.0,0.0
slow_pretrain,3,1920,-17039.741888845525,-2116.940563847817,-35.49946226842818,-61.14015249093437,-16.37210075792415,,-inf,,,,,,1920,96,48,0,80,0.00771077228119898,0.11840064821807506,0.0,0.0,0.007710772422918429,0.11840063333511353,0.0,0.0,0.0,0.0,0.016082434155207586,0.5696515540570167,3610.663645994336,3894.203931425491,5.86000947049698,0.0,0.0,0.0,0.0,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,7200.0001,96.0001,0.0001,0.0,0.0,0.0
slow_pretrain,4,2400,-20980.105299127223,-2334.5179683917586,-43.70855270651502,-159.1080223879903,-15.945706103192439,-20621.396663526873,-20621.396663526873,0.0,1.0,1.0,0.0209595228023146,0.622538445807746,2400,120,60,0,83,6.350392581038225e-16,1.117140368961273e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01872002201607754,0.5807532628596312,5224.364825631353,4051.195511119787,2910.6939052912567,58.6333941101776,0.0,0.0,0.0,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,7200.0001,120.0001,0.0001,0.0,0.0,0.0
slow_pretrain,5,2880,-20291.956810097006,-3883.327623895879,-42.27491002103544,-119.27394350526568,-17.97377343825395,,-20621.396663526873,,,,,,2880,144,72,0,75,3.879273446069112e-10,9.536740203097693e-08,3.725290502002802e-10,8.940696716308594e-08,0.0,0.0,0.5958234587063392,1.2849736213684082,0.0,0.0,0.020013512149882125,0.6198108082323084,5771.632142221437,4627.219471939137,139.58173377285001,1142.1736031357882,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,7200.0001,144.0001,0.0001,0.0,0.0,0.0
slow_pretrain,6,3360,-62449.58873543358,-4522.307361199598,-130.10330986548658,-1842.4115933268724,-14.113082569747109,,-20621.396663526873,,,,,,3360,168,84,0,80,0.00860328539744621,0.11481140605912943,1.2436961682738e-09,1.7881393432617188e-07,0.008603284507989884,0.11481142044067383,0.4111402506629626,0.9773217439651489,0.0,0.0,0.0226283948744033,0.5827982518080005,8377.235762555536,4115.856682196338,40239.09218324562,752.8119692720666,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,7200.0001,168.0001,0.0001,0.0,0.0,0.0
slow_pretrain,7,3840,-21983.116975320547,-3936.685895009555,-45.79816036525118,-270.6898772234653,-16.39093261460434,,-20621.396663526873,,,,,,3840,192,96,0,81,6.121899182809866e-10,2.9385094352241126e-07,6.208817256621776e-10,2.980232238769531e-07,0.0,0.0,0.6111928963412842,1.18983793258667,0.0,0.0,0.022179916421798562,0.6044052921410216,7071.936792199196,4406.574429637283,1237.0698469960298,861.320134598184,0.0,0.0,0.0,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,7200.0001,192.0001,0.0001,0.0,0.0,0.0
slow_pretrain,8,4320,-28554.971582304486,-4057.764336387815,-59.489524129801005,-276.6465928853939,-14.643660669217764,,-20621.396663526873,,,,,,4320,216,108,0,85,0.005391488223028827,0.11622401646222258,3.1044086203542883e-10,8.940696716308594e-08,0.00539148822426796,0.11622399091720581,0.5474956072866917,1.091008186340332,0.0,0.0,0.02277334683931448,0.5729374891235242,7716.247599777836,3965.7567276443156,7676.993968010492,334.0233863581937,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,7200.0001,216.0001,0.0001,0.0,0.0,0.0
slow_pretrain,9,4800,-33223.7805435607,-3852.231401557222,-69.21620946575146,-445.3630257231768,-18.798142302207715,-26662.298822241388,-26662.298822241388,0.0,1.0,1.0,0.023612760083641434,0.590603338752932,4800,240,120,0,80,0.007929572739101932,0.1140250647681833,1.8626469903508062e-10,8.940696716308594e-08,0.007929571943047145,0.1140250563621521,0.38803498446941376,1.0,0.0,0.0,0.0239479890214294,0.5337271462991008,8251.537845780816,3457.074668326751,12347.397488343033,419.8785499278014,0.0,0.0,0.0,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,7200.0001,240.0001,0.0001,0.0,0.0,0.0
