stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean
slow_pretrain,0,480,-21929.65849498532,-2167.046400451464,-45.68678853121937,-1045.5971835005907,-10.454531135461561,,-inf,,,,,,480,24,12,0,77,0.07388503574742682,0.4477470062225626,0.0,0.0,0.07388503572825963,0.44774702191352844,0.0,0.0,0.0,0.0,0.017942541429784367,0.5701620984688454,4814.739799209082,3901.191353520901,7162.777454444962,0.0,0.0,0.0,0.0,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,14400.000100000001,24.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,1,960,-19263.607154523328,-2179.8115467243274,-40.13251490525692,-292.4538528485047,-10.871012907620809,,-inf,,,,,,960,48,24,0,75,0.06100132155117689,0.6129846259749819,0.0,0.0,0.06100132146384567,0.6129846572875977,0.0,0.0,0.0,0.0,0.015057453185661178,0.5699393193008746,3589.5004199603304,3898.1590546375032,3777.4498526151096,0.0,0.0,0.0,0.0,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,14400.000100000001,48.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,2,1440,-20293.23776424923,-2156.060873303248,-42.2775786755192,-237.1896524505694,-10.159784523548637,,-inf,,,,,,1440,72,36,0,76,0.03407953067722434,0.2215910736187596,0.0,0.0,0.03407953132021551,0.2215910702943802,0.0,0.0,0.0,0.0,0.016830844750892186,0.5696096909779329,4338.415935843029,3893.6312824287033,5177.076449349389,0.0,0.0,0.0,0.0,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,14400.000100000001,72.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,3,1920,-18415.39986743403,-2178.3761835598148,-38.36541639048757,-141.35530534020023,-12.194915705496804,,-inf,,,,,,1920,96,48,0,80,0.007134622332603949,0.2296323497685374,0.0,0.0,0.007134622459610303,0.22963237762451172,0.0,0.0,0.0,0.0,0.017342086837683648,0.5696515540570167,4691.913961568427,3894.203931425491,1073.2722764948928,0.0,0.0,0.0,0.0,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,14400.000100000001,96.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,4,2400,-15529.549238904207,-1902.9389102108512,-32.35322758105041,-104.88081821038072,-12.43968807465579,-21193.388724980363,-21193.388724980363,0.0,1.0,1.0,0.020395183347636875,0.6244094066665652,2400,120,60,0,83,0.01571538571803332,0.3563466079912181,0.0,0.0,0.015715385880321266,0.35634663701057434,0.0,0.0,0.0,0.0,0.01599493189869618,0.582326804053761,3769.9506245924827,4073.3146159717335,204.65639219234663,64.68106959036498,0.0,0.0,0.0,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,14400.000100000001,120.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,5,2880,-29763.178622166917,-4305.064684059108,-62.0066221295144,-447.89955984474807,-14.423328805904038,,-21193.388724980363,,,,,,2880,144,72,0,75,0.00042860624342109073,0.05834963865131759,1.2417634941142008e-10,5.960464477539063e-08,0.00042860619723796847,0.058349609375,0.6787910299996535,1.237318754196167,0.0,0.0,0.0206580989512191,0.6177713664882066,6627.5837754315535,4601.3620433983615,9251.791308136784,1212.4160705616832,0.0,0.0,0.0,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,14400.000100000001,144.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,6,3360,-19999.4387478101,-3782.9437846096403,-41.66549739127101,-294.04613672776696,-10.210544691444877,,-21193.388724980363,,,,,,3360,168,84,0,80,0.0018789552145178788,0.19169223367040145,8.692344029744466e-10,1.4901161193847656e-07,0.0018789542295659582,0.19169223308563232,0.663988508284092,1.2089592218399048,0.0,0.0,0.017816937372760102,0.5964922526501023,5176.533272114366,4303.262387893993,2528.8657233447184,871.5044416202992,0.0,0.0,0.0,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,14400.000100000001,168.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,7,3840,-20183.76942207319,-3714.4524460979123,-42.049519629319136,-218.18712185059758,-13.100375228055636,,-21193.388724980363,,,,,,3840,192,96,0,81,0.009254306863498492,0.1837664376080991,9.409356608684286e-10,1.7881393432617188e-07,0.009254306061969449,0.1837664395570755,0.6412712950259447,1.1458804607391357,0.0,0.0,0.018262178078861654,0.5922823817998389,5184.683644554397,4240.5298866881885,2741.853182143927,741.466100818756,0.0,0.0,0.0,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,14400.000100000001,192.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,8,4320,-46612.73137680714,-4027.605989869766,-97.10985703501477,-2400.3035987423605,-10.564841829715432,,-21193.388724980363,,,,,,4320,216,108,0,85,0.029852331381139772,0.34352641589184285,1.7384688160681136e-09,5.960464477539062e-07,0.0298523307700331,0.3435264229774475,0.5144929600258669,1.273189902305603,0.0,0.0,0.022515787652921407,0.5720116199689208,8040.134670568125,3964.2040276849366,27334.24162698438,556.0963412072065,0.0,0.0,0.0,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,14400.000100000001,216.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slow_pretrain,9,4800,-43051.337264250054,-4089.3325180277343,-89.69028596718765,-1782.6751983108543,-9.37956841459567,-21463.88503858747,-21463.88503858747,0.0,1.0,1.0,0.018888907312028677,0.575348840993771,4800,240,120,0,80,0.02321209920711674,0.19326308336549458,1.6142924626668295e-09,3.5762786865234375e-07,0.023212098081906638,0.19326308369636536,0.47952449321746826,1.1829715967178345,0.0,0.0,0.02076207715988758,0.5785242642037791,7081.690228113908,4052.30379733717,25076.593713311846,714.551054123112,0.0,0.0,0.0,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,14400.000100000001,240.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
