stage,episode,global_step,episode_return,manager_return,mean_step_reward,min_step_reward,max_step_reward,eval_return,best_eval_return,eval_solver_failures,eval_power_success_rate,eval_gas_success_rate,eval_mean_voltage_rms_deviation_pu,eval_mean_gas_pressure_rms_deviation_bar,eval_terminal_soc_violation_rate,eval_max_terminal_soc_deviation,fast_buffer_size,slow_buffer_size,manager_buffer_size,solver_failures,gas_solve_count,mean_action_projection,max_action_projection,mean_slow_action_projection,max_slow_action_projection,mean_fast_action_projection,max_fast_action_projection,mean_ess_action_guard,max_ess_action_guard,mean_goal_change,max_goal_change,mean_voltage_rms_deviation_pu,mean_gas_pressure_rms_deviation_bar,voltage_deviation_cost,gas_pressure_deviation_cost,voltage_violation_cost,gas_pressure_violation_cost,pipe_velocity_violation_cost,source_capacity_violation_cost,gas_purchase_cost,terminal_soc_cost,terminal_soc_dense_cost,terminal_soc_max_deviation,terminal_soc_rms_deviation,interaction_reward_estimated_clips,manager_reward_clips,fast_total_insertions,slow_total_insertions,manager_total_insertions,fast_update_count,slow_update_count,manager_update_count,fast_actor_update_count,slow_actor_update_count,manager_actor_update_count,fast_critic_update_count,slow_critic_update_count,manager_critic_update_count,nonfinite_batch_count,fast_normalizer_count,slow_normalizer_count,manager_normalizer_count,mean_target_q_clipping_ratio,mean_reward_clipping_ratio,mean_actor_action_saturation_ratio,fast_actor_action_abs_mean,slow_actor_action_abs_mean,fast_actor_action_saturation_ratio,slow_actor_action_saturation_ratio,fast_actor_reference_deviation_rms,slow_actor_reference_deviation_rms,fast_curtailment_action_mean,slow_raw_to_guard_projection_rms,slow_guard_to_executed_projection_rms,slow_global_safety_group_share,slow_role_specific_group_share,joint_evaluations_without_improvement,early_stop_requested
manager_train,0,480,-153955.0287424951,-2672.24181750477,-320.7396432135312,-10798.981628776528,-9.203731762201699,,-inf,,,,,,,,480,24,12,0,77,0.02882195655407526,0.3789222333675095,0.0,0.0,0.028821956428388754,0.3789222240447998,0.0,0.0,0.261173584244468,0.32130539417266846,0.020928488209471408,0.5692772748290819,8720.238586949345,3889.060514507762,140175.76749296315,0.0,0.0,0.0,0.0,2.5937930216152374,1.3030887055612208,0.09155256164505743,0.06574943626647098,0,0,480,24,12,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,1,960,-56183.45567061826,-2097.695300717183,-117.04886598045475,-3628.6866694814275,-9.136621710955911,,-inf,,,,,,,,960,48,24,0,75,0.057723966758192226,0.5067340219571776,0.0,0.0,0.05772396656684577,0.5067340135574341,0.0,0.0,0.2559489052404057,0.341096431016922,0.019248551061327876,0.568176435832851,6577.03144146071,3874.0253731822736,44921.09345183548,0.0,0.0,0.0,0.0,0.5342479008081958,0.24032950161517957,0.051655936884018594,0.02983979168850982,0,0,960,48,24,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,2,1440,-35451.66175406087,-1831.1473250831095,-73.85762865429348,-3127.0460669886465,-9.350140329754282,,-inf,,,,,,,,1440,72,36,0,76,0.04527010561636164,0.5339577802541502,0.0,0.0,0.04527010551343361,0.5339577794075012,0.0,0.0,0.2594654316251928,0.32116955518722534,0.019763032427657846,0.5705366480440988,6485.113891535556,3906.2966406868213,24281.034254831964,0.0,0.0,0.0,0.0,0.35203076190835775,0.0,0.029218574834519173,0.024222261176734296,0,0,1440,72,36,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,3,1920,-12173.032781486729,-1210.5282471494063,-25.360484961430696,-552.4564623546365,-8.950806467285018,,-inf,,,,,,,,1920,96,48,0,80,0.07575663773189038,0.6164748231532339,0.0,0.0,0.07575663732617006,0.6164748072624207,0.0,0.0,0.2675338252024217,0.3520103991031647,0.014934892715023696,0.5701397852722689,3379.2724077786534,3900.9370912869763,3776.3334471205967,0.0,0.0,0.0,0.0,2.1538777051359435,0.5968921622120216,0.08676439674399017,0.05991490778785003,0,0,1920,96,48,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,4,2400,-32566.361706053405,-3277.2957905961216,-67.84658688761124,-2652.615324497375,-8.668568645982964,,-inf,,,,,,,,2400,120,60,0,83,0.03191313527370322,0.32278174816519456,2.1730860074361166e-10,8.940696716308594e-08,0.03191313480880732,0.3227817416191101,0.042825174828370415,0.41102004051208496,0.18689883906732907,0.3304172456264496,0.01684350836602754,0.5454535034890814,4898.188037923233,3576.198413359715,22454.05851708113,0.0,0.0,0.0,0.0,77.24701571159956,534.6917849235324,0.4,0.35881057145240197,0,0,2400,120,60,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,8.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,5,2880,-20447.17835278359,-3098.7023600210764,-42.59828823496585,-347.1104452820182,-7.3598229783060685,,-inf,,,,,,,,2880,144,72,0,75,0.07600155630944398,0.6440946038709778,6.20881716410319e-10,2.086162567138672e-07,0.07600155547261238,0.6440946459770203,0.07509576195540528,0.4022829830646515,0.0972968168895353,0.18130016326904297,0.020798217567573593,0.4819990531693309,6345.366561550865,2788.750747763347,9431.999006141159,0.0,0.0,0.0,0.0,75.67933890586728,427.29086781416134,0.4316834729205328,0.35515099818215184,0,0,2880,144,72,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,20.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,6,3360,-24017.19162543503,-3517.9161196901005,-50.03581588632301,-757.0224225616956,-7.267028236687212,,-inf,,,,,,,,3360,168,84,0,80,0.04062346306472855,0.36329677775324987,3.3760443329811095e-10,5.960464477539063e-08,0.040623463690280914,0.3632968068122864,0.05289047832290331,0.22356627881526947,0.14061408523808827,0.2150428146123886,0.021154388763063418,0.47734336136846073,6648.820171474055,2734.292142510317,12667.98859953516,0.0,0.0,0.0,0.0,67.02856056223652,423.8480730991689,0.44999999999999996,0.33423684357611977,0,0,3360,168,84,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,32.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,7,3840,-16743.21604072164,-3052.6204809743735,-34.881700084836744,-591.3134157924898,-7.661456790463075,,-inf,,,,,,,,3840,192,96,0,81,0.04787171045593202,0.41437899304148185,1.241763432820638e-10,5.960464477539063e-08,0.04787171097705141,0.4143790006637573,0.04102400857179115,0.5031074285507202,0.15645860440351747,0.2722403407096863,0.019491358899505713,0.47730444702239544,5475.419024337124,2733.845594467384,5550.689535761159,0.0,0.0,0.0,0.0,57.31695062141211,384.5143215284029,0.44999999999999907,0.3090764485296265,0,0,3840,192,96,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,44.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,8,4320,-10439.031232891844,-2417.494733136436,-21.747981735191352,-220.1733861829669,-9.393971586188073,,-inf,,,,,,,,4320,216,108,0,85,0.04930121379455236,0.4395519040488073,1.5522042910257975e-11,7.450580596923828e-09,0.04930121442303061,0.4395519196987152,0.051623343179623284,0.6011747717857361,0.14371949976140802,0.22066062688827515,0.017306527847676764,0.4773132313222728,4415.352171681013,2733.945566524707,446.1919237601921,0.0,0.0,0.0,0.0,41.75542773583258,333.0008199521935,0.44999999999999996,0.2638036761679431,0,0,4320,216,108,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,56.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
manager_train,9,4800,-12241.97243481562,-2690.5677026519893,-25.504109239199188,-239.13440723868254,-8.483047191679367,-14038.008924747954,-14038.008924747954,0.0,1.0,1.0,0.018166466034702115,0.4772662547723625,1.0,0.44999999999999996,4800,240,120,0,80,0.07045355904668786,0.6522020680866525,7.812038053482221e-17,3.749778265671466e-14,0.07045355935115367,0.6522020697593689,0.038062469102442265,0.5003337264060974,0.12967361374334854,0.22419202327728271,0.01731082870981354,0.4772594484289362,4440.571588175588,2733.328106249274,2227.4385504210254,0.0,0.0,0.0,0.0,82.05469617152292,461.5964165075878,0.44999999999999996,0.3698078243527822,0,0,4800,240,120,0,0,0,0,0,0,0,0,0,0,38400.000100000005,3120.0001,68.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
